title;paperId;doi;authors;publisher;topics;fields_of_study;year
Random Walks on Huge Graphs at Cache Efficiency.;901db9121b32d541e3aedcf315fc85c55a183928;10.1145/3477132.3483575;Ke Yang,Xiaosong Ma,Saravanan Thirumuruganathan,Kang Chen,Yongwei Wu;SOSP ;Computer systems organization,Architectures,Parallel architectures,Multicore architectures,General and reference,Cross-computing tools and techniques,Performance,Mathematics of computing,Probability and statistics,Probabilistic algorithms;Computer Science;2021
Mycelium: Large-Scale Distributed Graph Queries with Differential Privacy.;2c3f256695ed45668e6d373ab173a97909c0e4de;10.1145/3477132.3483585;Edo Roth,Karan Newatia,Yiping Ma,Ke Zhong,Sebastian Angel,Andreas Haeberlen;SOSP ;Security and privacy,Security services,Privacy-preserving protocols,Systems security,Distributed systems security;Computer Science;2021
HEALER: Relation Learning Guided Kernel Fuzzing.;2c7ff575588c58c85e68a045a5313d61ed520290;10.1145/3477132.3483547;Hao Sun,Yuheng Shen,Cong Wang,Jianzhong Liu,Yu Jiang,Ting Chen,Aiguo Cui;SOSP ;Security and privacy,Systems security,Operating systems security;Computer Science;2021
Gradient Compression Supercharged High-Performance Data Parallel DNN Training.;1d200ce7d40a24a3e77eeea0f9221aa132d59dce;10.1145/3477132.3483553;Youhui Bai,Cheng Li,Quan Zhou,Jun Yi,Ping Gong,Feng Yan,Ruichuan Chen,Yinlong Xu;SOSP ;Computer systems organization,Architectures,Distributed architectures,Other architectures,Neural networks;Computer Science;2021
Generating Complex, Realistic Cloud Workloads using Recurrent Neural Networks.;ad06b571f84e11fc7ff8a376670725b4b9ecf9c6;10.1145/3477132.3483590;Shane Bergsma,Timothy Zeyl,Arik Senderovich,J. Christopher Beck;SOSP ;Computer systems organization,Architectures,Distributed architectures,Cloud computing,Computing methodologies,Machine learning,Machine learning approaches,Neural networks,Modeling and simulation,Model development and analysis;Computer Science;2021
HeMem: Scalable Tiered Memory Management for Big Data Applications and Real NVM.;eb028f2f10fe0b26a0965cb4d66d3b2c2922b47c;10.1145/3477132.3483550;Amanda Raybuck,Tim Stamler,Wei Zhang,Mattan Erez,Simon Peter;SOSP ;Hardware,Integrated circuits,Semiconductor memory,Non-volatile memory,Software and its engineering,Software organization and properties,Contextual software domains,Operating systems,Memory management;Computer Science;2021
J-NVM: Off-heap Persistent Objects in Java.;26f01d78f7acaae7e9dffc9e7b23a91ae76bb817;10.1145/3477132.3483579;Anatole Lefort,Yohan Pipereau,Kwabena Amponsem,Pierre Sutra,Gaël Thomas;SOSP ;Hardware,Integrated circuits,Semiconductor memory,Non-volatile memory,Software and its engineering,Software notations and tools,Compilers,Runtime environments;Computer Science;2021
PACTree: A High Performance Persistent Range Index Using PAC Guidelines.;0d8f6578189c7c208c80a815b85fa5d628353278;10.1145/3477132.3483589;Wook-Hee Kim,R. Madhava Krishnan,Xinwei Fu,Sanidhya Kashyap,Changwoo Min;SOSP ;Information systems,Data management systems,Data structures,Information storage systems,Information storage technologies,Storage class memory;Computer Science;2021
Exploiting Nil-Externality for Fast Replicated Storage.;08ef44e3cbfd365fc4243222e05017956db5533c;10.1145/3477132.3483543;Aishwarya Ganesan,Ramnatthan Alagappan,Andrea C. Arpaci-Dusseau,Remzi H. Arpaci-Dusseau;SOSP ;Information systems,Information storage systems,Storage architectures,Distributed storage,Storage replication;Computer Science;2021
Geometric Partitioning: Explore the Boundary of Optimal Erasure Code Repair.;bc21043ecd2f88acfe2317e29775d89aed004516;10.1145/3477132.3483558;Yingdi Shan,Kang Chen,Tuoyu Gong,Lidong Zhou,Tai Zhou,Yongwei Wu;SOSP ;Computer systems organization,Dependable and fault-tolerant systems and networks,Redundancy,Reliability,Information systems,Information storage systems,Storage architectures,Distributed storage,Storage replication,Storage recovery strategies;Computer Science;2021
Rabia: Simplifying State-Machine Replication Through Randomization.;0aed903b14515c577d5bc6a102923464110bfea0;10.1145/3477132.3483582;Haochen Pan,Jesse Tuglu,Neo Zhou,Tianshu Wang,Yicheng Shen,Xiong Zheng,Joseph Tassarotti,Lewis Tseng,Roberto Palmieri;SOSP ;Computer systems organization,Dependable and fault-tolerant systems and networks,Computing methodologies,Distributed computing methodologies,Distributed algorithms;computer science;2021
MIND: In-Network Memory Management for Disaggregated Data Centers.;2c519ef38d5f4f131ec130b2f2a5aa8ecec907b0;10.1145/3477132.3483561;Seung-seob Lee,Yanpeng Yu,Yupeng Tang,Anurag Khandelwal,Lin Zhong,Abhishek Bhattacharjee;SOSP ;Computer systems organization,Architectures,Distributed architectures,Cloud computing,Networks,Network services,Programmable networks;computer science;2021
RAS: Continuously Optimized Region-Wide Datacenter Resource Allocation.;00823ed6af887ae82299dd5acf6c6f17404d3512;10.1145/3477132.3483578;Andrew Newell,Dimitrios Skarlatos,Jingyuan Fan,Pavan Kumar,Maxim Khutornenko,Mayank Pundir,Yirui Zhang,Mingjun Zhang,Yuanlai Liu,Linh Le,Brendon Daugherty,Apurva Samudra,Prashasti Baid,James Kneeland,Igor Kabiljo,Dmitry Shchukin,Andre Rodrigues,Scott Michelson,Ben Christensen,Kaushik Veeraraghavan,Chunqiang Tang;SOSP ;Computer systems organization,Architectures,Distributed architectures,Dependable and fault-tolerant systems and networks,Maintainability and maintenance;Computer Science;2021
Solving Large-Scale Granular Resource Allocation Problems Efficiently with POP.;9788be8e79cc5977a52c826fae4d3335b3804ded;10.1145/3477132.3483588;Deepak Narayanan,Fiodar Kazhamiaka,Firas Abuzaid,Peter Kraft,Akshay Agrawal,Srikanth Kandula,Stephen Boyd,Matei Zaharia;SOSP ;Computer systems organization,Architectures,Distributed architectures,Cloud computing,Networks,Network algorithms,Control path algorithms,Network resources allocation,Traffic engineering algorithms,Theory of computation,Design and analysis of algorithms,Approximation algorithms analysis,Scheduling algorithms;Computer Science;2021
Log-structured Protocols in Delos.;15bb04cf4d418e6dfbd35c14e91ea1ca45cbbff3;10.1145/3477132.3483544;Mahesh Balakrishnan,Chen Shen,Ahmed Jafri,Suyog Mapara,David Geraghty,Jason Flinn,Vidhya Venkat,Ivailo Nedelchev,Santosh Ghosh,Mihir Dharamshi,Jingming Liu,Filip Gruszczynski,Jun Li,Rounak Tibrewal,Ali Zaveri,Rajeev Nagar,Ahmed Yossef,Francois Richard,Yee Jiun Song;SOSP ;Computer systems organization,Dependable and fault-tolerant systems and networks,Reliability,Software and its engineering,Software organization and properties,Software system structures,Software architectures,Layered systems;Computer Science;2021
Shard Manager: A Generic Shard Management Framework for Geo-distributed Applications.;93a8ebf88d1c346c3276d604994e794aa7ab25d1;10.1145/3477132.3483546;Sangmin Lee,Zhenhua Guo,Omer Sunercan,Jun Ying,Thawan Kooburat,Suryadeep Biswal,Jun Chen,Kun Huang,Yatpang Cheung,Yiding Zhou,Kaushik Veeraraghavan,Biren Damani,Pol Mauri Ruiz,Vikas Mehta,Chunqiang Tang;SOSP ;Computer systems organization,Dependable and fault-tolerant systems and networks,Software and its engineering,Software organization and properties,Software system structures,Distributed systems organizing principles;Computer Science;2021
Forerunner: Constraint-based Speculative Transaction Execution for Ethereum.;754add18739a421b5ce8b3106ad4613085e67fd4;10.1145/3477132.3483564;Yang Chen,Zhongxin Guo,Runhuai Li,Shuo Chen,Lidong Zhou,Yajin Zhou,Xian Zhang;SOSP ;Computer systems organization,Dependable and fault-tolerant systems and networks,General and reference,Cross-computing tools and techniques,Performance,Software and its engineering,Software notations and tools,Compilers;Computer Science;2021
ghOSt: Fast & Flexible User-Space Delegation of Linux Scheduling.;407d21bc1c80708ccdaf3f7e45c5772022f9dd39;10.1145/3477132.3483542;Jack Tigar Humphries,Neel Natu,Ashwin Chaugule,Ofir Weisse,Barret Rhoden,Josh Don,Luigi Rizzo,Oleg Rombakh,Paul Turner,Christos Kozyrakis;SOSP ;Software and its engineering,Software organization and properties,Contextual software domains,Operating systems;Computer Science;2021
Syrup: User-Defined Scheduling Across the Stack.;5d697bca4990a6c0fc082fc1816b87912433002b;10.1145/3477132.3483548;Kostis Kaffes,Jack Tigar Humphries,David Mazières,Christos Kozyrakis;SOSP ;Networks,Network services,Programmable networks,Software and its engineering,Software organization and properties,Contextual software domains,Operating systems,Process management,Scheduling;Computer Science;2021
When Idling is Ideal: Optimizing Tail-Latency for Heavy-Tailed Datacenter Workloads with Perséphone.;91b9fd9df994850ba32cc4093e583981b9f44188;10.1145/3477132.3483571;Henri Maxime Demoulin,Joshua Fried,Isaac Pedisich,Marios Kogias,Boon Thau Loo,Linh Thi Xuan Phan,Irene Zhang;SOSP ;;Computer Science;2021
TwinVisor: Hardware-isolated Confidential Virtual Machines for ARM.;4c9f898c6e2a93c8d2d5eb8f68ed7aab42edbff1;10.1145/3477132.3483554;Dingji Li,Zeyu Mi,Yubin Xia,Binyu Zang,Haibo Chen,Haibing Guan;SOSP ;Security and privacy,Systems security,Operating systems security,Virtualization and security;Computer Science;2021
Snoopy: Surpassing the Scalability Bottleneck of Oblivious Storage.;b4f44cc54d5e7ae683b466b310e3ca04acf55eed;10.1145/3477132.3483562;Emma Dauterman,Vivian Fang,Ioannis Demertzis,Natacha Crooks,Raluca Ada Popa;SOSP ;Security and privacy,Database and storage security;computer science;2021
Coeus: A System for Oblivious Document Ranking and Retrieval.;36f996a163a8a0d40e484aaadc209ee867b96c70;10.1145/3477132.3483586;Ishtiyaque Ahmad,Laboni Sarker,Divyakant Agrawal,Amr El Abbadi,Trinabh Gupta;SOSP ;Information systems,Information retrieval,Information retrieval query processing,Security and privacy,Security services,Privacy-preserving protocols;Computer Science;2021
Boki: Stateful Serverless Computing with Shared Logs.;510ef55ea101541c546e33b91b594b35ab14b43c;10.1145/3477132.3483541;Zhipeng Jia,Emmett Witchel;SOSP ;Computer systems organization,Architectures,Distributed architectures,Cloud computing,Dependable and fault-tolerant systems and networks,Information systems,Information storage systems,Storage architectures,Distributed storage;computer science;2021
Bladerunner: Stream Processing at Scale for a Live View of Backend Data Mutations at the Edge.;32fc2687914da94113cb860f26065847b43985da;10.1145/3477132.3483572;Jeff Barber,Ximing Yu,Laney Kuenzel Zamore,Jerry Lin,Vahid Jazayeri,Shie Erlich,Tony Savor,Michael Stumm;SOSP ;Applied computing,Enterprise computing,Event-driven architectures,Computer systems organization,Architectures,Distributed architectures,Cloud computing,Information systems,Data management systems,Database management system engines,Stream management,Middleware for databases,Service buses,Information systems applications,Spatial-temporal systems,Data streaming,World Wide Web,Web applications,Social networks,Networks,Network protocols,Session protocols,Software and its engineering,Software organization and properties,Software system structures,Software architectures,Publish-subscribe / event-based architectures;Computer Science;2021
Faster and Cheaper Serverless Computing on Harvested Resources.;5dc7c8e242870ded94d5f90b833c8bb70237aefc;10.1145/3477132.3483580;Yanqi Zhang,Íñigo Goiri,Gohar Irfan Chaudhry,Rodrigo Fonseca,Sameh Elnikety,Christina Delimitrou,Ricardo Bianchini;SOSP ;Computer systems organization,Architectures,Distributed architectures,Cloud computing,Computing methodologies,Artificial intelligence,Planning and scheduling,Distributed computing methodologies;Computer Science;2021
Xenic: SmartNIC-Accelerated Distributed Transactions.;2c485e7ed1cba8423cf8d9236dfa18b65f12b6ce;10.1145/3477132.3483555;Henry N. Schuh,Weihao Liang,Ming Liu,Jacob Nelson,Arvind Krishnamurthy;SOSP ;Information systems,Data management systems,Database management system engines,Distributed database transactions,Parallel and distributed DBMSs;computer science;2021
LineFS: Efficient SmartNIC Offload of a Distributed File System with Pipeline Parallelism.;5c719e453ed2247e899a9f511b292324060e6c03;10.1145/3477132.3483565;Jongyul Kim,Insu Jang,Waleed Reda,Jaeseong Im,Marco Canini,Dejan Kostić,Youngjin Kwon,Simon Peter,Emmett Witchel;SOSP ;Computer systems organization,Dependable and fault-tolerant systems and networks,Availability,Embedded and cyber-physical systems,System on a chip,Information systems,Information storage systems,Information storage technologies,Storage class memory,Storage architectures,Distributed storage,Networks,Network components,End nodes,Network adapters,Social and professional topics,Professional topics,Management of computing and information systems,File systems management;computer science;2021
Automated SmartNIC Offloading Insights for Network Functions.;771fd14113bce4262b7025bab9ab2eed65f7fbdd;10.1145/3477132.3483583;Yiming Qiu,Jiarong Xing,Kuo-Feng Hsu,Qiao Kang,Ming Liu,Srinivas Narayana,Ang Chen;SOSP ;Computing methodologies,Machine learning,Networks,Network performance evaluation,Network performance modeling;Computer Science;2021
The Aurora Single Level Store Operating System.;597f2b79608207fa4c6d3c3143f63ffc252c5b32;10.1145/3477132.3483563;Emil Tsalapatis,Ryan Hancock,Tavian Barnes,Ali José Mashtizadeh;SOSP ;Computer systems organization,Dependable and fault-tolerant systems and networks,Reliability,Secondary storage organization,Software and its engineering,Software organization and properties,Contextual software domains,Operating systems;Computer Science;2021
WineFS: a hugepage-aware file system for persistent memory that ages gracefully.;9551666c4d6287f4ef7ca4aa08e53c1adf7006b6;10.1145/3477132.3483567;Rohan Kadekodi,Saurabh Kadekodi,Soujanya Ponnapalli,Harshad Shirwadkar,Gregory R. Ganger,Aasheesh Kolli,Vijay Chidambaram;SOSP ;Hardware,Integrated circuits,Semiconductor memory,Non-volatile memory,Information systems,Information storage systems,Information storage technologies,Storage class memory,Software and its engineering,Software organization and properties,Contextual software domains,Operating systems,File systems management;computer science;2021
Scale and Performance in a Filesystem Semi-Microkernel.;61fed188e23e9377151178af8cedc2f7598eda2c;10.1145/3477132.3483581;Jing Liu,Anthony Rebello,Yifan Dai,Chenhao Ye,Sudarsun Kannan,Andrea C. Arpaci-Dusseau,Remzi H. Arpaci-Dusseau;SOSP ;Software and its engineering,Software organization and properties,Contextual software domains,Operating systems,File systems management;Computer Science;2021
Using Lightweight Formal Methods to Validate a Key-Value Storage Node in Amazon S3.;0bc8270f1e09338f798c166ba0cfa7d43b7796f5;10.1145/3477132.3483540;James Bornholt,Rajeev Joshi,Vytautas Astrauskas,Brendan Cully,Bernhard Kragl,Seth Markle,Kyle Sauri,Drew Schleit,Grant Slatton,Serdar Tasiran,Jacob Van Geffen,Andrew Warfield;SOSP ;Software and its engineering,Software creation and management,Software verification and validation;Computer Science;2021
CLoF: A Compositional Lock Framework for Multi-level NUMA Systems.;27438a0a088c9d1cb4227677da78dbecabf6b943;10.1145/3477132.3483557;Rafael Lourenco de Lima Chehab,Antonio Paolillo,Diogo Behrens,Ming Fu,Hermann Härtig,Haibo Chen;SOSP ;Computer systems organization,Architectures,Parallel architectures,Multicore architectures,Software and its engineering,Software organization and properties,Contextual software domains,Operating systems,Process management,Mutual exclusion,Software functional properties,Correctness,Synchronization,Theory of computation,Models of computation,Concurrency;computer science;2021
Formal Verification of a Multiprocessor Hypervisor on Arm Relaxed Memory Hardware.;59c83a2ced9816343098d85cdc7c12d806838fce;10.1145/3477132.3483560;Runzhou Tao,Jianan Yao,Xupeng Li,Shih-Wei Li,Jason Nieh,Ronghui Gu;SOSP ;Security and privacy,Formal methods and theory of security,Logic and verification,Systems security,Operating systems security,Virtualization and security,Software and its engineering,Software creation and management,Software verification and validation,Formal software verification,Software organization and properties,Contextual software domains,Operating systems,Software infrastructure,Virtual machines,Software functional properties,Formal methods,Software verification;Computer Science;2021
PipeDream: generalized pipeline parallelism for DNN training.;158b28793346057429701cb1fd2fc1eb975ab291;10.1145/3341301.3359646;Deepak Narayanan,Aaron Harlap,Amar Phanishayee,Vivek Seshadri,Nikhil R. Devanur,Gregory R. Ganger,Phillip B. Gibbons,Matei Zaharia;SOSP ;;computer science;2019
A generic communication scheduler for distributed DNN training acceleration.;76c929af6735cdff2c4badc9a9c8f39d15ea3e70;10.1145/3341301.3359642;Yanghua Peng,Yibo Zhu,Yangrui Chen,Yixin Bao,Bairen Yi,Chang Lan,Chuan Wu,Chuanxiong Guo;SOSP ;Scheduling (computing),Bayesian optimization,TensorFlow,Speedup,Gradient,Remote direct memory access,Expect,Self-tuning,Auto-Tune,Experiment,End-to-end principle,Hardware description language,Overhead (computing),Artificial neural network, Computer systems organization,Architectures,Distributed architectures,Other architectures,Neural networks;Computer Science;2019
Parity models: erasure-coded resilience for prediction serving systems.;c5ed3d1a2ce418610a6fc9b5520a4f845279969a;10.1145/3341301.3359654;Jack Kosaian,K. V. Rashmi,Shivaram Venkataraman;SOSP ;Artificial neural network,Speech recognition,Machine learning,Computer vision,Distributed computing,Approximation,Unavailability,Computation,SIM lock,Erasure code, Computer systems organization,Dependable and fault-tolerant systems and networks,Redundancy,Reliability;Computer Science;2019
TASO: optimizing deep learning computation with automatic generation of graph substitutions.;26ba6b4b6b15ae8b1ea23bfdb2025a04b6883ac5;10.1145/3341301.3359630;Zhihao Jia,Oded Padon,James Thomas,Todd Warszawski,Matei Zaharia,Alex Aiken;SOSP ;Computer systems organization,Architectures,Other architectures,Neural networks,Computing methodologies,Machine learning,Machine learning approaches,Neural networks,Software and its engineering,Software creation and management,Software verification and validation,Formal software verification;computer science;2019
Teechain: a secure payment network with asynchronous blockchain access.;b4338f34ed9248eb14c032a5020fe1b34f297f86;10.1145/3341301.3359627;Joshua Lind,Oded Naor,Ittay Eyal,Florian Kelbert,Emin Gün Sirer,Peter Pietzuch;SOSP ;Security and privacy,Systems security,Distributed systems security;Computer Science;2019
Fast and secure global payments with Stellar.;c876007e7796dff7335b862fe3c38863f6c65c67;10.1145/3341301.3359636;Marta Lokhava,Giuliano Losa,David Mazières,Graydon Hoare,Nicolas Barry,Eli Gafni,Jonathan Jove,Rafał Malinowsky,Jed McCaleb;SOSP ;Stellar (payment network),Electronic funds transfer,Formal verification,Byzantine fault tolerance,Interconnectedness,Peer-to-peer,File spanning,Routing,Database,Information system, Computer systems organization,Architectures,Distributed architectures,Peer-to-peer architectures,Information systems,World Wide Web,Web applications,Electronic commerce,Electronic funds transfer,Security and privacy,Systems security,Distributed systems security;Computer Science;2019
Notary: a device for secure transaction approval.;da4d2caa28d14bc9cec284ef7515624621306576;10.1145/3341301.3359661;Anish Athalye,Adam Belay,M. Frans Kaashoek,Robert Morris,Nickolai Zeldovich;SOSP ;Cryptocurrency,Bitcoin,Software bug,Software architecture,Security bug,RISC-V,Prototype,ARM architecture,Application security,Software prototyping,Secure environment,Client–server model,Level design,Row hammer,Integer factorization,Central processing unit,Backup,Server (computing),Electronic hardware,Register-transfer level,Universal 2nd Factor,Input/output,Adversary (cryptography),System on a chip,Kernel (operating system),USB flash drive, Security and privacy,Formal methods and theory of security,Logic and verification,Security in hardware,Software and application security,Systems security;Business,Computer Science;2019
CrashTuner: detecting crash-recovery bugs in cloud systems via meta-info analysis.;4a7977acb2d09c915daa5022ac4f79407ffb6d2f;10.1145/3341301.3359645;Jie Lu,Chen Liu,Lian Li,Xiaobing Feng,Feng Tan,Jun Yang,Liang You;SOSP ;Software and its engineering,Software creation and management,Software verification and validation,Software defect analysis,Software testing and debugging,Software organization and properties,Software system structures,Distributed systems organizing principles,Cloud computing;computer science;2019
The inflection point hypothesis: a principled debugging approach for locating the root cause of a failure.;a2b498d837265848642190542221a1ad7910b1f6;10.1145/3341301.3359650;Yongle Zhang,Kirk Rodrigues,Yu Luo,Michael Stumm,Ding Yuan;SOSP ;Debugging,Search problem,Distributed computing,Test suite,Unit testing,Apache HBase,Apache Hadoop,LCP array, Computer systems organization,Dependable and fault-tolerant systems and networks,Reliability,Software and its engineering,Software creation and management,Software verification and validation,Software defect analysis,Software testing and debugging;Computer Science;2019
Finding semantic bugs in file systems with an extensible fuzzing framework.;33ea2f8f0c6d6bd5349361c65fda23b01226fd3a;10.1145/3341301.3359662;Seulbae Kim,Meng Xu,Sanidhya Kashyap,Jungyeon Yoon,Wen Xu,Taesoo Kim;SOSP ;Software bug,POSIX,Software testing,Turnkey,Debugging,Buffer overflow,Test case,Test suite,Hydra (chess),Hydra (operating system),Linux,Assertion (software development), Software and its engineering,Software creation and management,Software verification and validation,Software defect analysis,Software testing and debugging,Software organization and properties,Contextual software domains,Operating systems,File systems management;Computer Science;2019
Efficient scalable thread-safety-violation detection: finding thousands of concurrency bugs during testing.;eabe46c64755c83f27fb6b97e29bf87213425f39;10.1145/3341301.3359638;Guangpu Li,Shan Lu,Madanlal Musuvathi,Suman Nath,Rohan Padhye;SOSP ;Software bug,Concurrency (computer science),Thread safety,Scalability,Concurrency control,Deployment environment,Randomness, Computer systems organization,Dependable and fault-tolerant systems and networks,Reliability,Software and its engineering,Software creation and management,Software verification and validation,Empirical software validation,Software notations and tools,Software maintenance tools;Computer Science;2019
